date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	-2	-1	23	12	-2	-1
16-Feb-20	6	2	9	7	-1	-1
17-Feb-20	1	2	16	-6	-15	4
18-Feb-20	5	2	36	-4	-14	3
19-Feb-20	-4	-3	18	-6	-12	2
20-Feb-20	-2	-1	29	-4	-15	3
21-Feb-20	-1	-2	28	0	-15	3
22-Feb-20	-6	-2	31	14	-5	-1
23-Feb-20	8	7	30	12	-1	-1
24-Feb-20	3	3	45	-1	-15	3
25-Feb-20	1	1	23	-3	-14	4
26-Feb-20	-5	-2	9	-5	-12	3
27-Feb-20	-5	-1	1	-5	-15	4
28-Feb-20	-1	1	15	0	-15	4
29-Feb-20	-7	1	-12	4	-5	1
01-Mar-20	1	4	-13	2	1	0
02-Mar-20	-6	3	-9	-4	-5	3
03-Mar-20	-1	5	8	-4	-4	2
04-Mar-20	-6	2	1	-6	-3	2
05-Mar-20	-8	0	-15	-6	-5	3
06-Mar-20	-2	2	-1	-1	-4	3
07-Mar-20	-4	1	7	1	0	1
08-Mar-20	0	2	-1	-2	-1	1
09-Mar-20	-5	2	2	-5	-1	2
10-Mar-20	-5	1	1	-6	-1	2
11-Mar-20	-6	2	17	-5	0	1
12-Mar-20	-8	5	5	-7	-1	1
13-Mar-20	-8	17	4	-8	-2	3
14-Mar-20	-21	1	-1	-16	-5	5
15-Mar-20	-38	23	15	-21	-9	3
16-Mar-20	-43	46	-15	-39	-36	13
17-Mar-20	-68	-15	-40	-61	-55	24
18-Mar-20	-83	-45	-53	-76	-67	29
19-Mar-20	-82	-41	-56	-78	-71	32
20-Mar-20	-83	-42	-66	-80	-71	36
21-Mar-20	-88	-54	-78	-82	-58	24
22-Mar-20	-86	-64	-80	-84	-55	18
23-Mar-20	-81	-41	-64	-82	-73	32
24-Mar-20	-83	-45	-65	-82	-74	34
25-Mar-20	-84	-48	-67	-83	-73	32
26-Mar-20	-84	-46	-67	-83	-74	34
27-Mar-20	-84	-46	-68	-84	-73	37
28-Mar-20	-87	-56	-76	-83	-59	25
29-Mar-20	-88	-72	-82	-87	-56	18
30-Mar-20	-84	-47	-66	-83	-74	33
31-Mar-20	-90	-38	-61	-82	-74	33
01-Apr-20	-90	-39	-62	-81	-71	31
02-Apr-20	-90	-36	-62	-82	-73	33
03-Apr-20	-86	-38	-66	-82	-72	37
04-Apr-20	-88	-45	-73	-80	-57	24
05-Apr-20	-85	-62	-73	-82	-53	17
06-Apr-20	-83	-37	-61	-81	-72	31
07-Apr-20	-82	-35	-61	-80	-72	32
08-Apr-20	-84	-37	-63	-80	-70	30
09-Apr-20	-83	-32	-61	-80	-71	32
10-Apr-20	-83	-34	-64	-81	-71	36
11-Apr-20	-86	-39	-74	-79	-55	23
12-Apr-20	-83	-58	-76	-82	-50	17
13-Apr-20	-91	-80	-68	-88	-89	38
14-Apr-20	-79	-22	-59	-78	-70	31
15-Apr-20	-82	-32	-59	-78	-68	29
16-Apr-20	-81	-31	-58	-78	-69	31
17-Apr-20	-81	-33	-62	-79	-68	35
18-Apr-20	-86	-46	-73	-78	-52	23
19-Apr-20	-85	-65	-77	-81	-49	17
20-Apr-20	-79	-40	-61	-78	-68	30
21-Apr-20	-79	-37	-59	-77	-68	31
22-Apr-20	-81	-38	-58	-76	-65	28
23-Apr-20	-79	-34	-55	-76	-67	30
24-Apr-20	-79	-35	-58	-77	-66	33
25-Apr-20	-84	-43	-70	-76	-49	22
26-Apr-20	-83	-58	-68	-77	-43	16
27-Apr-20	-76	-36	-56	-76	-65	28
28-Apr-20	-77	-34	-60	-76	-65	28
29-Apr-20	-77	-32	-59	-75	-62	27
30-Apr-20	-73	-16	-61	-75	-64	28
01-May-20	-91	-87	-71	-87	-88	42
02-May-20	-78	-26	-72	-73	-46	21
