date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	6	1	45	10	0	-1
16-Feb-20	7	10	9	6	-1	0
17-Feb-20	2	2	7	1	-2	0
18-Feb-20	2	2	10	1	-1	1
19-Feb-20	3	0	6	-1	-1	1
20-Feb-20	2	-1	14	3	-4	1
21-Feb-20	2	2	15	-1	-8	2
22-Feb-20	-1	-2	26	9	-3	0
23-Feb-20	0	9	-24	2	-3	0
24-Feb-20	2	-5	17	-5	-20	4
25-Feb-20	-1	-1	15	-5	-13	4
26-Feb-20	-3	0	0	-7	-5	2
27-Feb-20	-5	3	-3	-5	-4	2
28-Feb-20	3	11	9	-2	-5	2
29-Feb-20	-1	5	9	1	-1	1
01-Mar-20	8	18	21	4	1	0
02-Mar-20	2	8	9	-1	0	0
03-Mar-20	0	5	8	-3	0	1
04-Mar-20	2	2	14	-4	0	1
05-Mar-20	-4	0	0	-5	0	1
06-Mar-20	-3	1	-11	-7	-1	2
07-Mar-20	1	0	19	-2	0	1
08-Mar-20	12	19	31	2	1	0
09-Mar-20	-1	2	7	-5	-1	1
10-Mar-20	-7	-2	-13	-8	-1	3
11-Mar-20	-1	2	17	-7	-1	2
12-Mar-20	-7	6	4	-9	-2	2
13-Mar-20	-9	19	-3	-15	-4	4
14-Mar-20	-17	9	33	-19	-3	4
15-Mar-20	-12	13	75	-16	-5	2
16-Mar-20	-7	22	40	-25	-18	6
17-Mar-20	-21	11	31	-35	-25	10
18-Mar-20	-34	5	44	-39	-30	11
19-Mar-20	-45	-3	15	-46	-33	14
20-Mar-20	-50	-2	-14	-52	-36	16
21-Mar-20	-69	-24	-31	-59	-31	13
22-Mar-20	-71	-35	1	-58	-34	10
23-Mar-20	-57	-16	-5	-56	-41	16
24-Mar-20	-59	-18	9	-56	-43	18
25-Mar-20	-58	-18	11	-56	-43	18
26-Mar-20	-59	-16	3	-57	-44	18
27-Mar-20	-59	-14	21	-56	-44	19
28-Mar-20	-66	-21	33	-53	-33	12
29-Mar-20	-77	-51	-49	-68	-39	11
30-Mar-20	-54	-16	-13	-56	-43	17
31-Mar-20	-53	-12	7	-53	-43	17
01-Apr-20	-52	-13	20	-53	-43	17
02-Apr-20	-54	-11	6	-54	-43	17
03-Apr-20	-57	-11	-13	-57	-44	19
04-Apr-20	-63	-16	21	-52	-31	12
05-Apr-20	-58	-13	61	-47	-30	8
06-Apr-20	-43	-6	49	-49	-44	15
07-Apr-20	-44	-2	50	-50	-45	16
08-Apr-20	-42	10	57	-49	-45	15
09-Apr-20	-40	14	37	-49	-47	15
10-Apr-20	-80	-92	72	-69	-86	29
11-Apr-20	-56	0	35	-48	-29	10
12-Apr-20	-63	-23	59	-47	-26	6
13-Apr-20	-81	-93	29	-73	-88	28
14-Apr-20	-45	1	8	-52	-45	17
15-Apr-20	-45	-9	46	-49	-44	16
16-Apr-20	-53	-3	57	-48	-43	16
17-Apr-20	-55	-4	49	-49	-43	16
18-Apr-20	-65	-14	35	-46	-22	10
19-Apr-20	-59	-7	56	-44	-22	7
20-Apr-20	-44	-9	35	-44	-36	13
21-Apr-20	-47	-8	45	-44	-35	14
22-Apr-20	-46	-8	60	-43	-35	13
23-Apr-20	-47	-6	58	-42	-35	13
24-Apr-20	-50	-7	38	-46	-36	14
25-Apr-20	-57	-10	40	-41	-19	9
26-Apr-20	-52	3	78	-39	-18	6
27-Apr-20	-43	-13	57	-41	-33	12
28-Apr-20	-48	-10	19	-43	-33	13
29-Apr-20	-46	1	12	-43	-33	13
30-Apr-20	-34	19	-8	-39	-34	12
01-May-20	-82	-92	17	-67	-84	28
02-May-20	-46	3	-18	-42	-20	9
