date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	3	-1	35	9	0	-1
16-Feb-20	3	2	26	11	1	-2
17-Feb-20	0	1	7	3	1	0
18-Feb-20	3	1	16	4	1	0
19-Feb-20	0	-1	11	3	1	0
20-Feb-20	2	1	18	5	1	0
21-Feb-20	1	1	19	5	0	-1
22-Feb-20	-1	3	30	8	0	-1
23-Feb-20	-5	16	23	6	1	0
24-Feb-20	-4	23	22	-15	-14	4
25-Feb-20	-6	5	20	-18	-15	5
26-Feb-20	-13	-5	-6	-23	-12	6
27-Feb-20	-10	-3	-1	-22	-12	6
28-Feb-20	-8	-2	11	-20	-12	5
29-Feb-20	-10	-2	2	-16	-9	3
01-Mar-20	-19	-5	-30	-26	-5	4
02-Mar-20	-13	-7	-26	-25	-9	5
03-Mar-20	-7	-1	-9	-21	-8	4
04-Mar-20	-7	1	8	-19	-8	4
05-Mar-20	-12	0	-12	-28	-16	7
06-Mar-20	-15	0	-8	-29	-17	8
07-Mar-20	-19	1	2	-24	-15	6
08-Mar-20	-32	3	1	-27	-10	6
09-Mar-20	-30	-1	-24	-42	-24	11
10-Mar-20	-43	-2	-32	-51	-31	16
11-Mar-20	-52	-14	-32	-57	-37	19
12-Mar-20	-70	-23	-61	-67	-47	24
13-Mar-20	-75	-28	-64	-71	-53	28
14-Mar-20	-83	-43	-78	-76	-58	25
15-Mar-20	-90	-60	-81	-80	-55	22
16-Mar-20	-75	-37	-67	-74	-58	27
17-Mar-20	-77	-41	-68	-76	-61	29
18-Mar-20	-79	-43	-71	-77	-61	30
19-Mar-20	-79	-44	-74	-78	-63	31
20-Mar-20	-80	-40	-77	-78	-63	32
21-Mar-20	-86	-51	-85	-80	-63	26
22-Mar-20	-95	-85	-91	-87	-63	24
23-Mar-20	-80	-45	-81	-81	-68	32
24-Mar-20	-81	-48	-80	-81	-69	32
25-Mar-20	-83	-51	-82	-82	-70	34
26-Mar-20	-84	-52	-84	-83	-72	35
27-Mar-20	-83	-46	-82	-82	-71	36
28-Mar-20	-87	-54	-86	-82	-65	27
29-Mar-20	-94	-85	-90	-87	-63	24
30-Mar-20	-81	-47	-79	-81	-69	32
31-Mar-20	-90	-42	-78	-79	-70	33
01-Apr-20	-90	-41	-77	-79	-70	33
02-Apr-20	-90	-40	-77	-79	-70	34
03-Apr-20	-85	-37	-78	-79	-69	35
04-Apr-20	-89	-48	-84	-80	-63	27
05-Apr-20	-95	-82	-90	-86	-62	24
06-Apr-20	-83	-39	-76	-78	-66	31
07-Apr-20	-81	-38	-75	-78	-67	31
08-Apr-20	-82	-37	-76	-78	-67	31
09-Apr-20	-81	-32	-76	-78	-67	32
10-Apr-20	-81	-27	-76	-77	-68	33
11-Apr-20	-86	-42	-83	-78	-62	26
12-Apr-20	-96	-94	-91	-88	-66	25
13-Apr-20	-96	-93	-86	-91	-90	40
14-Apr-20	-81	-41	-76	-77	-65	30
15-Apr-20	-80	-38	-75	-76	-64	30
16-Apr-20	-79	-37	-75	-76	-63	31
17-Apr-20	-79	-34	-75	-76	-63	32
18-Apr-20	-85	-48	-82	-77	-58	25
19-Apr-20	-94	-82	-88	-84	-58	23
20-Apr-20	-79	-48	-79	-79	-61	29
21-Apr-20	-79	-45	-76	-77	-61	29
22-Apr-20	-79	-45	-75	-76	-61	30
23-Apr-20	-78	-40	-73	-75	-60	30
24-Apr-20	-75	-27	-71	-73	-60	29
25-Apr-20	-93	-86	-83	-83	-72	28
26-Apr-20	-92	-74	-85	-81	-54	22
27-Apr-20	-72	-34	-68	-72	-57	26
28-Apr-20	-75	-39	-71	-74	-58	26
29-Apr-20	-75	-36	-68	-72	-57	27
30-Apr-20	-71	-23	-67	-71	-57	26
01-May-20	-92	-90	-74	-86	-86	41
02-May-20	-78	-37	-71	-70	-52	23
