date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	3	3	8	4	2	0
16-Feb-20	3	3	8	4	2	0
17-Feb-20	8	8	11	9	3	-1
18-Feb-20	4	4	9	6	4	-1
19-Feb-20	0	0	6	3	4	-1
20-Feb-20	-3	-4	1	-1	2	0
21-Feb-20	1	0	7	4	3	0
22-Feb-20	1	2	7	3	3	0
23-Feb-20	2	1	8	2	3	0
24-Feb-20	8	8	10	7	4	-1
25-Feb-20	4	5	10	5	5	-1
26-Feb-20	0	1	8	4	5	-1
27-Feb-20	0	2	6	2	2	0
28-Feb-20	-1	-2	2	1	1	1
29-Feb-20	-3	-2	-3	-3	2	1
01-Mar-20	3	6	6	4	6	0
02-Mar-20	10	12	11	9	2	0
03-Mar-20	6	10	12	6	3	-1
04-Mar-20	2	4	9	4	3	0
05-Mar-20	-2	-1	3	-1	1	1
06-Mar-20	-5	-4	-3	-3	-1	2
07-Mar-20	-1	2	3	1	2	1
08-Mar-20	4	6	8	5	5	0
09-Mar-20	12	15	17	11	2	-1
10-Mar-20	7	10	16	9	4	-1
11-Mar-20	-6	-4	1	-1	3	1
12-Mar-20	-2	-1	3	-1	2	1
13-Mar-20	1	6	8	5	3	1
14-Mar-20	-3	8	7	7	0	1
15-Mar-20	-5	6	4	1	4	1
16-Mar-20	3	14	11	5	-7	2
17-Mar-20	-4	8	7	0	-8	2
18-Mar-20	-13	2	4	-4	-12	4
19-Mar-20	-18	-5	-2	-10	-16	6
20-Mar-20	-26	-10	-7	-15	-19	7
21-Mar-20	-34	-14	-14	-19	-18	8
22-Mar-20	-48	-25	-26	-34	-21	9
23-Mar-20	-59	-39	-29	-44	-68	22
24-Mar-20	-66	-48	-36	-52	-58	21
25-Mar-20	-68	-52	-38	-57	-62	23
26-Mar-20	-69	-52	-41	-60	-63	24
27-Mar-20	-73	-58	-46	-65	-64	25
28-Mar-20	-72	-54	-44	-62	-59	23
29-Mar-20	-70	-55	-45	-62	-41	18
30-Mar-20	-66	-49	-36	-59	-62	24
31-Mar-20	-68	-53	-39	-60	-62	23
01-Apr-20	-68	-52	-37	-58	-60	22
02-Apr-20	-66	-50	-36	-58	-59	22
03-Apr-20	-69	-53	-39	-60	-60	23
04-Apr-20	-67	-49	-39	-58	-52	20
05-Apr-20	-65	-51	-41	-57	-34	15
06-Apr-20	-60	-42	-30	-53	-53	20
07-Apr-20	-62	-45	-31	-53	-54	20
08-Apr-20	-64	-48	-32	-53	-55	20
09-Apr-20	-65	-50	-35	-56	-57	22
10-Apr-20	-66	-50	-35	-57	-55	21
11-Apr-20	-65	-47	-36	-55	-48	19
12-Apr-20	-65	-49	-40	-56	-33	15
13-Apr-20	-59	-42	-30	-52	-52	20
14-Apr-20	-61	-45	-31	-53	-52	19
15-Apr-20	-59	-43	-28	-49	-48	19
16-Apr-20	-57	-41	-27	-49	-48	19
17-Apr-20	-63	-47	-33	-54	-50	19
18-Apr-20	-60	-42	-33	-50	-40	16
19-Apr-20	-57	-41	-34	-50	-23	12
20-Apr-20	-51	-34	-24	-46	-43	16
21-Apr-20	-53	-35	-25	-45	-43	16
22-Apr-20	-53	-36	-26	-45	-43	15
23-Apr-20	-52	-33	-26	-45	-43	16
24-Apr-20	-55	-34	-30	-49	-46	17
25-Apr-20	-64	-46	-41	-56	-42	20
26-Apr-20	-63	-48	-42	-57	-26	17
27-Apr-20	-58	-43	-32	-53	-45	21
28-Apr-20	-57	-43	-30	-50	-43	18
29-Apr-20	-58	-44	-31	-50	-42	19
30-Apr-20	-57	-43	-30	-50	-42	19
01-May-20	-63	-48	-37	-57	-61	22
02-May-20	-59	-41	-34	-51	-37	17
