date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	2	-1	26	8	0	-2
16-Feb-20	2	3	13	5	-1	-2
17-Feb-20	0	1	9	3	3	-1
18-Feb-20	-2	0	5	4	3	0
19-Feb-20	0	1	11	2	3	-1
20-Feb-20	1	1	15	5	3	-1
21-Feb-20	1	2	20	6	2	-2
22-Feb-20	2	2	44	14	2	-2
23-Feb-20	7	10	33	11	1	-3
24-Feb-20	5	3	36	4	-7	0
25-Feb-20	-2	-1	17	3	-6	1
26-Feb-20	0	4	11	1	0	0
27-Feb-20	4	8	16	6	1	-2
28-Feb-20	-1	-7	33	2	-11	0
29-Feb-20	-1	4	19	6	-1	-1
01-Mar-20	2	6	6	5	1	-2
02-Mar-20	-3	1	-7	-3	-3	1
03-Mar-20	-3	3	-3	1	3	0
04-Mar-20	0	4	9	2	3	0
05-Mar-20	-1	2	2	0	2	0
06-Mar-20	-2	2	0	0	-1	0
07-Mar-20	-1	1	17	4	1	-1
08-Mar-20	4	7	19	8	1	-2
09-Mar-20	-1	4	12	0	3	-1
10-Mar-20	-3	18	12	-1	2	0
11-Mar-20	-5	17	17	-9	-2	1
12-Mar-20	-13	27	1	-16	-5	3
13-Mar-20	-33	33	-22	-32	-17	8
14-Mar-20	-69	-8	-44	-52	-31	14
15-Mar-20	-87	-49	-76	-71	-48	17
16-Mar-20	-80	-33	-72	-71	-52	23
17-Mar-20	-83	-39	-73	-74	-59	25
18-Mar-20	-84	-36	-73	-76	-60	26
19-Mar-20	-88	-58	-77	-80	-71	31
20-Mar-20	-87	-39	-79	-80	-66	32
21-Mar-20	-92	-53	-87	-84	-63	26
22-Mar-20	-94	-73	-89	-87	-65	22
23-Mar-20	-85	-46	-77	-81	-65	28
24-Mar-20	-87	-50	-79	-81	-67	29
25-Mar-20	-87	-51	-78	-82	-67	30
26-Mar-20	-87	-52	-78	-82	-68	30
27-Mar-20	-88	-49	-80	-83	-68	33
28-Mar-20	-92	-57	-86	-86	-64	26
29-Mar-20	-94	-76	-89	-88	-64	22
30-Mar-20	-89	-55	-80	-84	-74	31
31-Mar-20	-92	-55	-82	-84	-76	32
01-Apr-20	-92	-53	-81	-84	-75	33
02-Apr-20	-92	-52	-81	-84	-75	33
03-Apr-20	-89	-48	-82	-84	-74	36
04-Apr-20	-92	-56	-86	-86	-65	26
05-Apr-20	-94	-77	-90	-89	-68	23
06-Apr-20	-87	-51	-79	-83	-74	31
07-Apr-20	-89	-41	-79	-83	-74	31
08-Apr-20	-88	-31	-77	-82	-74	30
09-Apr-20	-93	-66	-83	-88	-84	36
10-Apr-20	-96	-90	-88	-92	-90	42
11-Apr-20	-92	-44	-85	-84	-63	26
12-Apr-20	-94	-74	-89	-89	-67	23
13-Apr-20	-90	-65	-80	-85	-77	32
14-Apr-20	-87	-41	-75	-79	-67	29
15-Apr-20	-88	-46	-77	-81	-68	30
16-Apr-20	-88	-46	-76	-80	-67	30
17-Apr-20	-89	-45	-77	-81	-67	33
18-Apr-20	-92	-54	-85	-84	-61	25
19-Apr-20	-95	-76	-89	-89	-65	22
20-Apr-20	-87	-56	-75	-80	-66	28
21-Apr-20	-87	-51	-77	-80	-66	29
22-Apr-20	-87	-47	-75	-80	-65	29
23-Apr-20	-87	-51	-74	-80	-67	30
24-Apr-20	-88	-46	-76	-79	-65	32
25-Apr-20	-92	-52	-84	-83	-59	25
26-Apr-20	-92	-66	-77	-82	-62	21
27-Apr-20	-85	-50	-65	-76	-63	27
28-Apr-20	-85	-45	-64	-75	-64	26
29-Apr-20	-84	-41	-64	-75	-63	28
30-Apr-20	-82	-30	-63	-74	-63	27
01-May-20	-94	-88	-74	-86	-86	40
02-May-20	-84	-31	-43	-63	-53	21
