date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	-12	-7	-35	-12	-4	2
16-Feb-20	-7	-6	-28	-7	-3	1
17-Feb-20	10	1	24	-2	-14	2
18-Feb-20	7	-1	20	-3	-14	2
19-Feb-20	6	-2	8	-4	-14	3
20-Feb-20	5	-2	4	-5	-14	3
21-Feb-20	5	-1	10	-3	-15	3
22-Feb-20	-4	-2	-7	-2	-2	1
23-Feb-20	-1	-2	-5	3	-1	0
24-Feb-20	-3	-1	-9	-2	-2	1
25-Feb-20	-1	4	3	1	1	0
26-Feb-20	1	0	6	-1	1	0
27-Feb-20	2	1	8	0	0	0
28-Feb-20	1	1	-13	0	-1	1
29-Feb-20	1	1	-14	-2	0	0
01-Mar-20	7	2	14	5	1	-1
02-Mar-20	4	4	14	0	1	0
03-Mar-20	2	3	11	-1	1	0
04-Mar-20	2	3	2	-2	1	1
05-Mar-20	-1	2	1	-3	0	1
06-Mar-20	5	6	22	1	1	0
07-Mar-20	0	2	7	-1	1	0
08-Mar-20	4	2	15	2	1	-1
09-Mar-20	0	4	4	-3	0	1
10-Mar-20	-2	5	4	-4	0	1
11-Mar-20	0	5	10	-6	0	1
12-Mar-20	-1	11	5	-8	-1	2
13-Mar-20	-2	11	12	-9	-4	2
14-Mar-20	-10	7	1	-15	-2	2
15-Mar-20	-11	7	-1	-16	-4	2
16-Mar-20	-3	20	29	-16	-9	4
17-Mar-20	-15	21	6	-27	-16	7
18-Mar-20	-21	22	-3	-34	-23	10
19-Mar-20	-21	24	2	-37	-27	11
20-Mar-20	-28	10	6	-40	-29	13
21-Mar-20	-50	1	2	-46	-25	11
22-Mar-20	-56	-14	20	-46	-30	9
23-Mar-20	-45	-8	1	-53	-45	17
24-Mar-20	-71	-24	-14	-64	-58	24
25-Mar-20	-73	-26	-12	-68	-64	26
26-Mar-20	-74	-28	-11	-70	-66	27
27-Mar-20	-76	-29	-26	-71	-66	28
28-Mar-20	-83	-39	-54	-74	-57	20
29-Mar-20	-85	-46	-52	-75	-55	15
30-Mar-20	-74	-32	-33	-73	-69	27
31-Mar-20	-74	-30	-21	-72	-70	27
01-Apr-20	-75	-32	-29	-73	-69	28
02-Apr-20	-75	-32	-24	-73	-70	29
03-Apr-20	-76	-30	-25	-72	-69	29
04-Apr-20	-81	-36	-38	-72	-57	19
05-Apr-20	-82	-41	-29	-70	-54	15
06-Apr-20	-73	-31	-20	-72	-70	27
07-Apr-20	-73	-29	-7	-69	-70	27
08-Apr-20	-73	-27	-14	-70	-70	27
09-Apr-20	-71	-20	-13	-70	-70	27
10-Apr-20	-78	-33	-18	-75	-80	32
11-Apr-20	-81	-32	-37	-70	-57	19
12-Apr-20	-89	-63	-33	-71	-58	16
13-Apr-20	-78	-41	-21	-78	-83	31
14-Apr-20	-71	-26	-10	-69	-70	27
15-Apr-20	-72	-27	-6	-69	-69	27
16-Apr-20	-73	-27	-7	-70	-69	28
17-Apr-20	-75	-30	-33	-71	-68	29
18-Apr-20	-81	-37	-47	-71	-54	19
19-Apr-20	-80	-40	-12	-66	-49	14
20-Apr-20	-71	-30	-2	-68	-67	25
21-Apr-20	-72	-28	2	-67	-67	26
22-Apr-20	-72	-28	1	-67	-66	27
23-Apr-20	-72	-27	6	-67	-66	27
24-Apr-20	-73	-26	-4	-66	-65	27
25-Apr-20	-78	-32	-23	-65	-51	18
26-Apr-20	-78	-37	-10	-64	-48	14
27-Apr-20	-69	-29	-3	-66	-65	25
28-Apr-20	-74	-33	-42	-71	-66	25
29-Apr-20	-73	-30	-31	-69	-66	27
30-Apr-20	-74	-28	-31	-69	-66	27
01-May-20	-74	-27	-22	-67	-64	27
02-May-20	-78	-30	-18	-63	-49	17
