date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	3	-4	-2	-4	1	0
16-Feb-20	7	-3	13	0	0	-1
17-Feb-20	7	-2	23	-22	-37	9
18-Feb-20	-2	-5	-4	-5	-10	3
19-Feb-20	3	-2	11	-3	-9	2
20-Feb-20	2	-3	0	-3	-9	2
21-Feb-20	-1	-5	-8	-6	-9	3
22-Feb-20	8	0	29	3	4	-1
23-Feb-20	9	2	54	3	3	-1
24-Feb-20	3	0	25	-1	4	0
25-Feb-20	-1	-2	-1	-1	3	0
26-Feb-20	4	3	-1	0	3	0
27-Feb-20	-1	-2	-4	0	0	1
28-Feb-20	1	0	-9	0	3	1
29-Feb-20	7	1	-5	-1	4	0
01-Mar-20	10	5	9	0	3	-1
02-Mar-20	6	5	16	-1	4	0
03-Mar-20	4	6	6	0	4	0
04-Mar-20	7	8	16	0	3	0
05-Mar-20	8	9	21	0	4	-1
06-Mar-20	-1	0	-11	-3	3	1
07-Mar-20	10	8	17	0	6	-1
08-Mar-20	10	7	61	0	2	-1
09-Mar-20	7	8	62	-4	1	0
10-Mar-20	1	7	14	-7	-1	1
11-Mar-20	3	11	20	-8	-1	1
12-Mar-20	1	27	6	-13	-3	2
13-Mar-20	-6	28	1	-19	-8	5
14-Mar-20	-9	21	20	-20	-2	4
15-Mar-20	-14	14	28	-25	-7	4
16-Mar-20	-15	24	-10	-36	-25	10
17-Mar-20	-31	13	-16	-42	-32	14
18-Mar-20	-33	10	7	-44	-36	16
19-Mar-20	-39	2	-16	-50	-40	18
20-Mar-20	-40	8	-9	-50	-43	20
21-Mar-20	-46	0	-1	-50	-30	13
22-Mar-20	-54	-19	-15	-59	-36	13
23-Mar-20	-62	-37	-64	-69	-57	26
24-Mar-20	-53	-18	-16	-63	-56	25
25-Mar-20	-56	-23	-38	-66	-57	26
26-Mar-20	-52	-18	1	-64	-57	25
27-Mar-20	-54	-20	-7	-64	-57	27
28-Mar-20	-61	-28	-52	-67	-45	18
29-Mar-20	-62	-32	-47	-68	-46	16
30-Mar-20	-55	-26	-40	-69	-60	26
31-Mar-20	-55	-24	-36	-69	-61	26
01-Apr-20	-52	-18	-13	-67	-61	26
02-Apr-20	-54	-20	-26	-69	-62	27
03-Apr-20	-57	-22	-56	-70	-62	30
04-Apr-20	-58	-21	-5	-65	-47	18
05-Apr-20	-59	-28	-11	-68	-47	15
06-Apr-20	-53	-21	-3	-69	-62	26
07-Apr-20	-60	-11	-6	-69	-63	26
08-Apr-20	-62	-12	-23	-70	-63	27
09-Apr-20	-65	-15	-46	-73	-65	29
10-Apr-20	-65	-13	-53	-72	-66	32
11-Apr-20	-62	-4	-12	-65	-48	18
12-Apr-20	-75	-44	-10	-68	-51	15
13-Apr-20	-70	-39	-59	-76	-64	29
14-Apr-20	-60	-19	-15	-68	-61	26
15-Apr-20	-59	-20	-25	-69	-61	27
16-Apr-20	-61	-20	-35	-70	-61	27
17-Apr-20	-62	-22	-43	-68	-60	29
18-Apr-20	-65	-25	-40	-67	-45	18
19-Apr-20	-62	-26	11	-64	-43	14
20-Apr-20	-59	-23	-19	-68	-59	25
21-Apr-20	-63	-27	-43	-71	-60	27
22-Apr-20	-60	-19	-28	-68	-59	26
23-Apr-20	-60	-20	-32	-69	-59	26
24-Apr-20	-63	-25	-50	-70	-59	29
25-Apr-20	-57	-15	45	-58	-41	14
26-Apr-20	-66	-33	-58	-70	-44	15
27-Apr-20	-59	-23	-37	-68	-58	25
28-Apr-20	-54	-15	22	-64	-57	18
29-Apr-20	-56	-19	-27	-67	-58	25
30-Apr-20	-58	-21	-45	-69	-58	26
01-May-20	-55	-15	-28	-64	-56	26
02-May-20	-51	-10	63	-54	-38	13
