date	retail_and_recreation_percent_change_from_baseline	grocery_and_pharmacy_percent_change_from_baseline	parks_percent_change_from_baseline	transit_stations_percent_change_from_baseline	workplaces_percent_change_from_baseline	residential_percent_change_from_baseline
15-Feb-20	6	2	15	3	2	-1
16-Feb-20	7	1	16	2	0	-1
17-Feb-20	6	0	28	-9	-24	5
18-Feb-20	0	-1	6	1	0	1
19-Feb-20	2	0	8	1	1	0
20-Feb-20	1	0	4	0	0	1
21-Feb-20	2	-2	4	1	0	0
22-Feb-20	7	3	23	5	4	-1
23-Feb-20	7	3	23	5	2	-1
24-Feb-20	2	1	9	1	3	0
25-Feb-20	4	1	9	2	2	0
26-Feb-20	7	2	5	3	2	-1
27-Feb-20	8	3	12	4	2	0
28-Feb-20	8	3	10	5	2	-1
29-Feb-20	12	7	21	7	4	-2
01-Mar-20	13	9	18	7	3	-1
02-Mar-20	7	6	10	2	3	-1
03-Mar-20	11	10	20	3	2	-1
04-Mar-20	8	6	17	2	3	-1
05-Mar-20	8	7	21	2	3	-1
06-Mar-20	5	3	12	2	2	-1
07-Mar-20	10	8	29	7	5	-1
08-Mar-20	10	7	40	5	2	-1
09-Mar-20	6	6	31	-1	0	0
10-Mar-20	6	7	18	-3	-2	1
11-Mar-20	8	10	26	-2	-1	0
12-Mar-20	6	23	19	-6	-3	1
13-Mar-20	2	26	4	-10	-7	3
14-Mar-20	-6	18	3	-10	-1	3
15-Mar-20	-9	12	5	-13	-7	3
16-Mar-20	-8	21	-1	-22	-20	8
17-Mar-20	-18	14	8	-26	-27	11
18-Mar-20	-24	8	6	-30	-31	13
19-Mar-20	-28	7	2	-36	-33	15
20-Mar-20	-32	5	-2	-37	-36	16
21-Mar-20	-40	-2	-3	-36	-24	12
22-Mar-20	-44	-13	-12	-44	-31	11
23-Mar-20	-38	-10	-23	-47	-41	17
24-Mar-20	-39	-12	-10	-46	-45	19
25-Mar-20	-40	-15	-7	-47	-46	19
26-Mar-20	-40	-14	3	-48	-47	20
27-Mar-20	-42	-16	-7	-49	-46	21
28-Mar-20	-48	-19	-25	-49	-34	15
29-Mar-20	-47	-22	-19	-51	-38	12
30-Mar-20	-40	-18	-15	-50	-48	19
31-Mar-20	-40	-16	-16	-49	-49	20
01-Apr-20	-37	-11	-7	-48	-49	20
02-Apr-20	-40	-11	-9	-51	-50	21
03-Apr-20	-42	-12	-21	-51	-50	22
04-Apr-20	-48	-15	-24	-50	-37	15
05-Apr-20	-49	-20	-20	-54	-40	13
06-Apr-20	-42	-16	-10	-52	-50	20
07-Apr-20	-42	-14	-2	-51	-51	21
08-Apr-20	-42	-15	-6	-51	-51	21
09-Apr-20	-43	-13	-21	-54	-52	22
10-Apr-20	-43	-13	-21	-54	-56	24
11-Apr-20	-45	-7	-16	-49	-38	14
12-Apr-20	-63	-39	-36	-56	-45	13
13-Apr-20	-45	-22	-31	-55	-51	21
14-Apr-20	-40	-16	-15	-50	-50	20
15-Apr-20	-36	-13	-16	-49	-49	20
16-Apr-20	-39	-13	-14	-50	-49	21
17-Apr-20	-42	-17	-22	-51	-48	22
18-Apr-20	-45	-15	-20	-47	-33	14
19-Apr-20	-45	-19	-10	-50	-37	11
20-Apr-20	-39	-16	-7	-49	-48	19
21-Apr-20	-38	-14	-8	-49	-49	20
22-Apr-20	-38	-14	-9	-48	-49	20
23-Apr-20	-40	-14	-14	-50	-49	21
24-Apr-20	-40	-16	-14	-50	-48	21
25-Apr-20	-41	-11	2	-42	-32	12
26-Apr-20	-42	-16	-11	-48	-36	11
27-Apr-20	-35	-13	-4	-48	-46	18
28-Apr-20	-34	-10	6	-45	-48	12
29-Apr-20	-34	-11	-7	-46	-47	19
30-Apr-20	-34	-9	-7	-47	-47	19
01-May-20	-32	-7	7	-43	-45	18
02-May-20	-34	-4	28	-35	-29	10
