Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,NY
1/22/2020,548,1,0,0,0,0,0,0,0
1/23/2020,643,1,0,0,0,0,0,0,0
1/24/2020,920,2,0,0,2,0,0,0,0
1/25/2020,1406,2,0,0,3,0,0,0,0
1/26/2020,2075,5,0,0,3,0,0,0,0
1/27/2020,2877,5,0,0,3,1,0,0,0
1/28/2020,5509,5,0,0,4,4,0,0,0
1/29/2020,6087,5,0,0,5,4,0,0,0
1/30/2020,8141,5,0,0,5,4,0,0,0
1/31/2020,9802,7,2,2,5,5,0,0,0
2/1/2020,11891,8,2,2,6,8,1,0,0
2/2/2020,16630,8,2,2,6,10,1,0,0
2/3/2020,19716,11,2,2,6,12,1,0,0
2/4/2020,23707,11,2,2,6,12,1,0,0
2/5/2020,27440,11,2,2,6,12,1,0,0
2/6/2020,30587,11,2,2,6,12,1,0,0
2/7/2020,34110,11,3,3,6,13,1,0,0
2/8/2020,36814,11,3,3,11,13,1,0,0
2/9/2020,39829,11,3,3,11,14,2,0,0
2/10/2020,42354,11,8,3,11,14,2,0,0
2/11/2020,44386,12,8,3,11,16,2,0,0
2/12/2020,44759,12,9,3,11,16,2,0,0
2/13/2020,59895,13,9,3,11,16,2,0,0
2/14/2020,66358,13,9,3,11,16,2,0,0
2/15/2020,68413,13,9,3,12,16,2,0,0
2/16/2020,70513,13,9,3,12,16,2,0,0
2/17/2020,72434,13,9,3,12,16,2,0,0
2/18/2020,74211,13,9,3,12,16,2,0,0
2/19/2020,74619,13,9,3,12,16,2,2,0
2/20/2020,75077,13,9,3,12,16,2,5,0
2/21/2020,75550,15,9,20,12,16,2,18,0
2/22/2020,77001,15,9,62,12,16,2,28,0
2/23/2020,77022,15,9,155,12,16,2,43,0
2/24/2020,77241,51,13,229,12,16,2,61,0
2/25/2020,77754,51,13,322,14,17,6,95,0
2/26/2020,78166,57,13,453,18,27,13,139,0
2/27/2020,78600,58,15,655,38,46,15,245,0
2/28/2020,78928,60,20,888,57,48,32,388,0
2/29/2020,79356,68,23,1128,100,79,45,593,0
3/1/2020,79932,74,36,1694,130,130,84,978,1
3/2/2020,80136,98,40,2036,191,159,120,1501,1
3/3/2020,80261,118,51,2502,204,196,165,2336,2
3/4/2020,80386,149,86,3089,288,262,222,2922,11
3/5/2020,80537,217,116,3858,380,482,259,3513,22
3/6/2020,80690,262,164,4636,656,670,400,4747,44
3/7/2020,80770,402,207,5883,959,799,500,5823,89
3/8/2020,80823,518,274,7375,1136,1040,673,6566,106
3/9/2020,80860,583,322,9172,1219,1176,1073,7161,142
3/10/2020,80887,959,384,10149,1794,1457,1695,8042,173
3/11/2020,80921,1281,459,12462,2293,1908,2277,9000,217
3/12/2020,80932,1663,459,12462,2293,2078,2277,10075,326
3/13/2020,80945,2179,802,17660,3681,3675,5232,11364,421
3/14/2020,80977,2727,1144,21157,4496,4585,6391,12729,610
3/15/2020,81003,3499,1145,24747,4532,5795,7798,13938,732
